message_id,parent_id,text,date,timestamp,sender
ebccQQLo,,"<sender>David</sender>Hi, what's up?",21.02.20,15:39:01,David
KSPsphHs,ebccQQLo,<sender>Luca</sender>Watching a movie right now,21.02.20,15:39:35,Luca
ebTEQZL2,KSPsphHs,"<sender>David</sender>Cool, what movie are you watching?",21.02.20,15:40:05,David
yziOs3Aq,ebTEQZL2,<sender>Luca</sender>It's a sci-fi,21.02.20,15:40:45,Luca
CMBTe8uV,yziOs3Aq,<sender>David</sender>I love sci-fi movies. What's the name of it?,21.02.20,15:41:15,David
hqS49Sd2,CMBTe8uV,<sender>Luca</sender>It's called Interstellar. Have you seen it?,21.02.20,15:41:55,Luca
SHUXpCBS,hqS49Sd2,"<sender>David</sender>Yes, I have. It's one of my favorites. I really liked the concept of time dilation and wormholes.",21.02.20,15:42:25,David
dUXuuAvc,SHUXpCBS,<sender>Luca</sender>Me too. It's very fascinating and mind-blowing. I'm at the part where they land on the water planet.,21.02.20,15:43:05,Luca
A6I3TiYI,dUXuuAvc,"<sender>David</sender>Oh, that's a tense scene. Be careful, there might be a big wave coming.",21.02.20,15:43:35,David
9x52Pn7I,A6I3TiYI,"<sender>Luca</sender>Haha, thanks for the warning. I'll talk to you later, I don't want to miss anything.",21.02.20,15:44:05,Luca
0xCNnFS6,9x52Pn7I,"<sender>David</sender>Sure, no problem. Enjoy the movie. Bye for now.",21.02.20,15:44:35,David
gdJRELXR,0xCNnFS6,"<sender>Luca</sender>Bye, David. Thanks for chatting with me.",21.02.20,15:45:05,Luca
n7AcTjKV,gdJRELXR,"<sender>David</sender>Cool, what movie are you watching?",21.02.20,15:40:05,David
QhSJJ6dt,n7AcTjKV,<sender>Luca</sender>It's a sci-fi,21.02.20,15:40:45,Luca
pjhEG2rq,QhSJJ6dt,<sender>David</sender>I love sci-fi movies. What's the name of it?,21.02.20,15:41:15,David
7QPiizEQ,pjhEG2rq,<sender>Luca</sender>It's called Interstellar. Have you seen it?,21.02.20,15:41:55,Luca
Z9ZHJrfD,7QPiizEQ,"<sender>David</sender>No, I haven't. What's it about?",21.02.20,15:42:25,David
zLVfB6yD,Z9ZHJrfD,<sender>Luca</sender>It's about a team of astronauts who travel through a wormhole in search of a new home for humanity.,21.02.20,15:43:05,Luca
